Sembol,Son_Fiyat,RSI,MACD,Stoch_K,Momentum,SMA20,SMA50,Sinyal
THYAO.IS,286.0,44.66724283213844,1.6779957525657778,5.0,-14.5,293.1,283.62,BEKLE
GARAN.IS,125.4000015258789,54.92677497714218,2.853174348037399,28.712869043410475,-6.599998474121094,125.40000038146972,116.7390005493164,BEKLE
ASELS.IS,72.05000305175781,63.77987274489521,1.1064787981630104,83.78388038199242,0.8000030517578125,69.82500038146972,65.80231925964355,BEKLE
SISE.IS,44.279998779296875,65.67763323783491,0.7018208388972553,82.1781916450595,1.0799980163574219,41.841000175476076,40.599200134277346,BEKLE
KCHOL.IS,180.5,35.19651986765156,-0.27329578321410963,0.0,-20.199996948242188,194.70999984741212,183.95999908447266,BEKLE
AKBNK.IS,59.29999923706055,45.49957033180835,1.2531468289580943,5.732494909686417,-7.049999237060547,62.35750064849854,56.19880020141601,BEKLE
EREGL.IS,24.959999084472656,43.28993969636656,0.10138482314905062,3.973473963431964,-2.0400009155273438,25.80949993133545,24.975399856567382,BEKLE
BIMAS.IS,491.0,46.68274777890323,6.430343435800808,7.787472329572278,-30.942138671875,502.61779022216797,480.3556188964844,BEKLE
TUPRS.IS,143.3000030517578,38.20909703269604,-0.524551830729223,3.7313449831583885,-11.199996948242188,149.08999938964843,146.98799926757812,BEKLE
YKBNK.IS,28.239999771118164,43.28296387067754,0.28318730522149593,1.826481830984566,-4.179998397827148,30.114999961853027,27.48640007019043,BEKLE
